id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88660_b28cc457,tmpl_id,__import__.product_template_8020_15_f,8020-15-F/L,802015F202303,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),Talla: L,82.52,0.00
__export__.product_product_88667_ca9f649c,tmpl_id,__import__.product_template_8020_106_f,8020-106-F/XXL,8020106F202305,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),Talla: XXL,82.52,0.00
__export__.product_product_88666_633da0dd,tmpl_id,__import__.product_template_8020_106_f,8020-106-F/XL,8020106F202304,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),Talla: XL,82.52,0.00
__export__.product_product_88663_a4c37488,tmpl_id,__import__.product_template_8020_106_f,8020-106-F/S,8020106F202301,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),Talla: S,82.52,0.00
__export__.product_product_88664_29a69386,tmpl_id,__import__.product_template_8020_106_f,8020-106-F/M,8020106F202302,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),Talla: M,82.52,0.00
__export__.product_product_88665_034f680a,tmpl_id,__import__.product_template_8020_106_f,8020-106-F/L,8020106F202303,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),Talla: L,82.52,0.00
__export__.product_product_88652_d76a9906,tmpl_id,__import__.product_template_8020_4_f,8020-4-F/XXL,802004F202305,H. CAMISA LINO FRENCH BRUNO CASSINI,Talla: XXL,82.52,0.00
__export__.product_product_88651_35ca6da6,tmpl_id,__import__.product_template_8020_4_f,8020-4-F/XL,802004F202304,H. CAMISA LINO FRENCH BRUNO CASSINI,Talla: XL,82.52,0.00
__export__.product_product_88648_7ea74c05,tmpl_id,__import__.product_template_8020_4_f,8020-4-F/S,802004F202301,H. CAMISA LINO FRENCH BRUNO CASSINI,Talla: S,82.52,0.00
__export__.product_product_86519_b5fb09de,tmpl_id,__import__.product_template_pt_008_black_1,PT-008-BLACK-1/28,PT-008-BLACK-1/O28,Pantalon PT-008-BLACK-1,Talla: 28,56.43,0.00
__export__.product_product_87916_b7db20ba,tmpl_id,__import__.product_template_ern_sabat_1259,ERN-SABAT-1259-15-S2,ERNST125915002,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,"Talla: 15, Manga de Camisa: S2 - 34/35",47.74,0.00
